iteration,query,time(s)
1,1,2.586
1,2,0.429
1,3,0.789
1,4,0.196
1,5,1.194
1,6,0.413
1,7,1.840
1,8,5.723
1,9,8.707
1,10,0.749
1,11,0.247
1,12,0.467
1,13,4.269
1,14,0.534
1,15,1.671
1,16,6.518
1,17,477.927
1,18,0.442
1,19,0.633
1,20,685.175
1,21,2.476
1,22,112.131
2,1,2.609
2,2,0.434
2,3,0.815
2,4,0.184
2,5,1.084
2,6,0.412
2,7,1.488
2,8,4.353
2,9,8.134
2,10,0.781
2,11,0.248
2,12,0.437
2,13,4.201
2,14,0.547
2,15,1.763
2,16,6.501
2,17,473.764
2,18,0.441
2,19,0.719
2,20,683.232
2,21,2.535
2,22,110.810
3,1,2.563
3,2,0.430
3,3,0.896
3,4,0.252
3,5,0.817
3,6,0.417
3,7,1.486
3,8,3.930
3,9,8.242
3,10,0.840
3,11,0.233
3,12,0.500
3,13,4.191
3,14,0.543
3,15,1.663
3,16,6.611
3,17,469.911
3,18,0.452
3,19,0.706
3,20,684.891
3,21,2.473
3,22,110.541
4,1,2.571
4,2,0.435
4,3,0.833
4,4,0.229
4,5,0.860
4,6,0.409
4,7,1.751
4,8,2.762
4,9,8.726
4,10,0.866
4,11,0.238
4,12,0.442
4,13,4.142
4,14,0.547
4,15,1.644
4,16,6.471
4,17,471.930
4,18,0.449
4,19,0.719
4,20,683.131
4,21,2.470
4,22,110.903
5,1,2.577
5,2,0.430
5,3,0.780
5,4,0.217
5,5,0.852
5,6,0.413
5,7,1.465
5,8,2.921
5,9,8.687
5,10,0.849
5,11,0.234
5,12,0.505
5,13,4.219
5,14,0.541
5,15,1.629
5,16,6.495
5,17,474.766
5,18,0.446
5,19,0.747
5,20,682.287
5,21,2.503
5,22,111.756
6,1,4.857
6,2,0.429
6,3,0.800
6,4,0.237
6,5,0.846
6,6,0.408
6,7,1.790
6,8,3.889
6,9,8.500
6,10,0.850
6,11,0.232
6,12,0.454
6,13,4.285
6,14,0.529
6,15,1.638
6,16,6.487
6,17,462.856
6,18,0.454
6,19,0.751
6,20,681.123
6,21,2.462
6,22,111.653
7,1,2.557
7,2,0.436
7,3,0.798
7,4,0.232
7,5,0.884
7,6,0.409
7,7,1.639
7,8,4.801
7,9,12.018
7,10,0.847
7,11,0.226
7,12,0.480
7,13,4.258
7,14,0.527
7,15,1.613
7,16,6.516
7,17,472.921
7,18,0.450
7,19,0.746
7,20,682.426
7,21,2.488
7,22,110.979
8,1,3.959
8,2,0.444
8,3,0.797
8,4,0.229
8,5,0.852
8,6,0.407
8,7,1.625
8,8,2.899
8,9,12.580
8,10,0.848
8,11,0.225
8,12,0.449
8,13,4.218
8,14,0.614
8,15,1.629
8,16,6.485
8,17,471.757
8,18,0.456
8,19,0.750
8,20,682.234
8,21,2.473
8,22,111.430
9,1,2.565
9,2,0.433
9,3,0.802
9,4,0.238
9,5,1.094
9,6,0.411
9,7,1.274
9,8,2.847
9,9,12.344
9,10,0.853
9,11,0.224
9,12,0.472
9,13,4.222
9,14,0.601
9,15,1.654
9,16,6.466
9,17,463.859
9,18,0.441
9,19,0.745
9,20,683.846
9,21,2.486
9,22,111.678
10,1,3.823
10,2,0.433
10,3,0.806
10,4,0.248
10,5,0.852
10,6,0.409
10,7,1.453
10,8,2.993
10,9,9.430
10,10,0.862
10,11,0.224
10,12,0.448
10,13,4.165
10,14,0.673
10,15,1.654
10,16,6.489
10,17,476.139
10,18,0.443
10,19,0.750
10,20,684.451
10,21,2.464
10,22,111.589
11,1,2.559
11,2,0.428
11,3,0.801
11,4,0.268
11,5,1.325
11,6,0.410
11,7,1.465
11,8,2.947
11,9,7.499
11,10,0.851
11,11,0.224
11,12,0.475
11,13,4.224
11,14,0.544
11,15,1.746
11,16,6.481
11,17,471.489
11,18,0.442
11,19,0.747
11,20,681.257
11,21,2.487
11,22,111.791
12,1,3.693
12,2,0.429
12,3,0.797
12,4,0.268
12,5,1.252
12,6,0.411
12,7,1.324
12,8,2.943
12,9,7.594
12,10,0.835
12,11,0.225
12,12,0.447
12,13,4.220
12,14,0.588
12,15,1.612
12,16,6.471
12,17,466.750
12,18,0.442
12,19,0.745
12,20,682.875
12,21,2.458
12,22,110.978
13,1,2.594
13,2,0.437
13,3,0.802
13,4,0.268
13,5,1.280
13,6,0.410
13,7,1.463
13,8,2.919
13,9,7.710
13,10,0.839
13,11,0.223
13,12,0.453
13,13,4.251
13,14,0.658
13,15,1.655
13,16,6.484
13,17,478.018
13,18,0.442
13,19,0.746
13,20,683.715
13,21,2.503
13,22,110.867
14,1,2.625
14,2,0.472
14,3,0.771
14,4,0.268
14,5,0.974
14,6,0.407
14,7,1.469
14,8,2.927
14,9,7.673
14,10,0.928
14,11,0.227
14,12,0.464
14,13,4.248
14,14,0.658
14,15,1.647
14,16,6.510
14,17,469.301
14,18,0.442
14,19,0.740
14,20,683.153
14,21,2.478
14,22,110.380
15,1,2.553
15,2,0.442
15,3,0.766
15,4,0.269
15,5,1.090
15,6,0.407
15,7,1.475
15,8,2.901
15,9,7.475
15,10,0.976
15,11,0.225
15,12,0.462
15,13,4.238
15,14,0.655
15,15,1.646
15,16,6.521
15,17,468.908
15,18,0.443
15,19,0.745
15,20,681.916
15,21,2.477
15,22,111.401
