iteration,query,time(s)
13,15,0.881574 
13,16,0.131679 
13,17,403.577365 
13,18,0.392396 
13,19,0.514665 
13,20,593.212641 
13,21,2.298606 
13,22,98.752555 
14,1,2.726335 
14,2,0.088227 
14,3,0.638488 
14,4,0.170358 
14,5,0.699103 
14,6,0.376655 
14,7,1.101388 
14,8,1.845007 
14,9,4.340608 
14,10,0.528966 
14,11,0.214120 
14,12,0.442614 
14,13,3.614329 
14,14,0.472311 
14,15,0.894840 
14,16,0.135455 
14,17,407.798015 
14,18,0.409930 
14,19,0.539863 
14,20,602.403325 
14,21,2.373738 
14,22,99.587490 
15,1,2.820141 
15,2,0.090071 
15,3,0.645630 
15,4,0.174492 
15,5,0.724187 
15,6,0.384596 
15,7,1.128957 
15,8,1.861249 
15,9,4.388104 
15,10,0.539304 
15,11,0.218327 
15,12,0.453173 
15,13,3.692738 
15,14,0.485049 
15,15,0.911491 
15,16,0.137177 
15,17,404.59851 
15,18,0.357820 
15,19,0.507333 
15,20,580.595921 
15,21,2.348909 
15,22,96.143543 
