iteration,query,time(s)
13,15,0.854012 
13,16,0.118697 
13,17,412.218686 
13,18,0.443828 
13,19,0.532512 
13,20,598.500328 
13,21,2.236482 
13,22,100.261545 
14,1,2.427358 
14,2,0.087823 
14,3,0.635172 
14,4,0.155874 
14,5,0.702938 
14,6,0.363130 
14,7,1.081428 
14,8,1.836554 
14,9,4.221346 
14,10,0.480798 
14,11,0.197604 
14,12,0.394204 
14,13,3.389374 
14,14,0.452454 
14,15,0.851630 
14,16,0.117932 
14,17,411.634744 
14,18,0.446316 
14,19,0.528930 
14,20,601.831547 
14,21,2.233277 
14,22,100.394623 
15,1,2.429292 
15,2,0.087008 
15,3,0.639901 
15,4,0.156015 
15,5,0.714676 
15,6,0.362934 
15,7,1.080522 
15,8,1.845694 
15,9,4.223370 
15,10,0.483254 
15,11,0.196824 
15,12,0.397913 
15,13,3.412720 
15,14,0.462063 
15,15,0.857999 
15,16,0.119132 
15,17,416.260310 
15,18,0.447076 
15,19,0.531771 
15,20,598.066480 
15,21,2.226884 
15,22,100.172033 
