iteration,query,time(s)
12,Query 4,0.155924 
12,Query 5,0.705551 
12,Query 6,0.364929 
12,Query 7,1.084180 
12,Query 8,1.843195 
12,Query 9,4.232491 
12,Query 10,0.480816 
12,Query 11,0.196504 
12,Query 12,0.394572 
12,Query 13,3.384230 
12,Query 14,0.452651 
12,Query 15,0.855932 
12,Query 16,0.118055 
12,Query 17,411.636716 
12,Query 18,0.443403 
12,Query 19,0.528412 
12,Query 20,600.874229 
12,Query 21,2.223267 
12,Query 22,100.274471 
13,Query 1,2.427001 
13,Query 2,0.087853 
13,Query 3,0.639110 
13,Query 4,0.155664 
13,Query 5,0.711745 
13,Query 6,0.362162 
13,Query 7,1.080558 
13,Query 8,1.843120 
13,Query 9,4.216307 
13,Query 10,0.480876 
13,Query 11,0.196873 
13,Query 12,0.394017 
13,Query 13,3.345390 
13,Query 14,0.451591 
13,Query 15,0.854012 
13,Query 16,0.118697 
13,Query 17,412.218686 
13,Query 18,0.443828 
13,Query 19,0.532512 
13,Query 20,598.500328 
13,Query 21,2.236482 
13,Query 22,100.261545 
14,Query 1,2.427358 
14,Query 2,0.087823 
14,Query 3,0.635172 
14,Query 4,0.155874 
14,Query 5,0.702938 
14,Query 6,0.363130 
14,Query 7,1.081428 
14,Query 8,1.836554 
14,Query 9,4.221346 
14,Query 10,0.480798 
14,Query 11,0.197604 
14,Query 12,0.394204 
14,Query 13,3.389374 
14,Query 14,0.452454 
14,Query 15,0.851630 
14,Query 16,0.117932 
14,Query 17,411.634744 
14,Query 18,0.446316 
14,Query 19,0.528930 
14,Query 20,601.831547 
14,Query 21,2.233277 
14,Query 22,100.394623 
15,Query 1,2.429292 
15,Query 2,0.087008 
15,Query 3,0.639901 
15,Query 4,0.156015 
15,Query 5,0.714676 
15,Query 6,0.362934 
15,Query 7,1.080522 
15,Query 8,1.845694 
15,Query 9,4.223370 
15,Query 10,0.483254 
15,Query 11,0.196824 
15,Query 12,0.397913 
15,Query 13,3.412720 
15,Query 14,0.462063 
15,Query 15,0.857999 
15,Query 16,0.119132 
15,Query 17,416.260310 
15,Query 18,0.447076 
15,Query 19,0.531771 
15,Query 20,598.066480 
15,Query 21,2.226884 
15,Query 22,100.172033 
