time(s)
0.856
0.808
0.857
0.830
0.836
0.850
0.909
0.829
0.806
0.769
0.817
0.852
0.802
0.773
0.827
1.542
0.836
0.868
0.815
0.837
0.826
0.810
0.770
0.791
0.779
0.860
0.825
0.883
0.848
0.772
0.768
0.838
0.818
1.150
0.899
0.856
0.829
0.814
0.859
0.802
0.832
0.806
0.897
0.781
0.777
0.834
0.794
0.803
0.836
0.874
